xflr5 v6.47
NACA0012
T1_Re0.100_M0.00_N9.0
Alpha =   3.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.415     0.000     0.765     0.000
 0.9928    0.241     0.000     0.871     0.000
 0.9799    0.173     0.000     0.909     0.000
 0.9635    0.119     0.000     0.939     0.000
 0.9445    0.076     0.000     0.961     0.000
 0.9235    0.039     0.000     0.981     0.000
 0.9007    0.006     0.000     0.997     0.000
 0.8766   -0.025     0.000     1.012     0.000
 0.8512   -0.053     0.000     1.026     0.000
 0.8249   -0.079     0.000     1.039     0.000
 0.7977   -0.105     0.000     1.051     0.000
 0.7699   -0.130     0.000     1.063     0.000
 0.7415   -0.154     0.000     1.074     0.000
 0.7127   -0.178     0.000     1.085     0.000
 0.6836   -0.202     0.000     1.096     0.000
 0.6543   -0.226     0.000     1.107     0.000
 0.6249   -0.251     0.000     1.118     0.000
 0.5955   -0.276     0.000     1.129     0.000
 0.5661   -0.301     0.000     1.141     0.000
 0.5368   -0.327     0.000     1.152     0.000
 0.5077   -0.353     0.000     1.163     0.000
 0.4789   -0.380     0.000     1.175     0.000
 0.4505   -0.408     0.000     1.187     0.000
 0.4225   -0.437     0.000     1.199     0.000
 0.3949   -0.466     0.000     1.211     0.000
 0.3678   -0.496     0.000     1.223     0.000
 0.3413   -0.527     0.000     1.236     0.000
 0.3155   -0.558     0.000     1.248     0.000
 0.2904   -0.590     0.000     1.261     0.000
 0.2659   -0.623     0.000     1.274     0.000
 0.2423   -0.657     0.000     1.287     0.000
 0.2195   -0.691     0.000     1.300     0.000
 0.1976   -0.727     0.000     1.314     0.000
 0.1766   -0.764     0.000     1.328     0.000
 0.1566   -0.802     0.000     1.342     0.000
 0.1376   -0.841     0.000     1.357     0.000
 0.1197   -0.883     0.000     1.372     0.000
 0.1028   -0.927     0.000     1.388     0.000
 0.0871   -0.975     0.000     1.405     0.000
 0.0726   -1.025     0.000     1.423     0.000
 0.0592   -1.080     0.000     1.442     0.000
 0.0472   -1.138     0.000     1.462     0.000
 0.0364   -1.199     0.000     1.483     0.000
 0.0269   -1.258     0.000     1.503     0.000
 0.0188   -1.307     0.000     1.519     0.000
 0.0121   -1.321     0.000     1.524     0.000
 0.0069   -1.248     0.000     1.499     0.000
 0.0031   -0.989     0.000     1.410     0.000
 0.0008   -0.434     0.000     1.198     0.000
 0.0000    0.308     0.000     0.832     0.000
 0.0008    0.842     0.000     0.397     0.000
 0.0031    1.000     0.000     0.004     0.000
 0.0069    0.916     0.000    -0.289     0.000
 0.0121    0.757     0.000    -0.493     0.000
 0.0188    0.598     0.000    -0.634     0.000
 0.0269    0.460     0.000    -0.735     0.000
 0.0364    0.348     0.000    -0.808     0.000
 0.0472    0.256     0.000    -0.863     0.000
 0.0592    0.182     0.000    -0.905     0.000
 0.0726    0.121     0.000    -0.938     0.000
 0.0871    0.071     0.000    -0.964     0.000
 0.1028    0.031     0.000    -0.984     0.000
 0.1197   -0.002     0.000    -1.001     0.000
 0.1376   -0.030     0.000    -1.015     0.000
 0.1566   -0.051     0.000    -1.025     0.000
 0.1766   -0.069     0.000    -1.034     0.000
 0.1976   -0.082     0.000    -1.040     0.000
 0.2195   -0.093     0.000    -1.045     0.000
 0.2423   -0.100     0.000    -1.049     0.000
 0.2659   -0.105     0.000    -1.051     0.000
 0.2904   -0.108     0.000    -1.052     0.000
 0.3155   -0.108     0.000    -1.053     0.000
 0.3413   -0.108     0.000    -1.052     0.000
 0.3678   -0.105     0.000    -1.051     0.000
 0.3949   -0.102     0.000    -1.050     0.000
 0.4225   -0.097     0.000    -1.047     0.000
 0.4505   -0.092     0.000    -1.045     0.000
 0.4789   -0.086     0.000    -1.042     0.000
 0.5077   -0.079     0.000    -1.039     0.000
 0.5368   -0.071     0.000    -1.035     0.000
 0.5661   -0.064     0.000    -1.031     0.000
 0.5955   -0.055     0.000    -1.027     0.000
 0.6249   -0.047     0.000    -1.023     0.000
 0.6543   -0.038     0.000    -1.019     0.000
 0.6836   -0.029     0.000    -1.014     0.000
 0.7127   -0.019     0.000    -1.009     0.000
 0.7415   -0.008     0.000    -1.004     0.000
 0.7699    0.003     0.000    -0.999     0.000
 0.7977    0.015     0.000    -0.992     0.000
 0.8249    0.028     0.000    -0.986     0.000
 0.8512    0.043     0.000    -0.978     0.000
 0.8766    0.059     0.000    -0.970     0.000
 0.9007    0.077     0.000    -0.961     0.000
 0.9235    0.099     0.000    -0.949     0.000
 0.9445    0.125     0.000    -0.936     0.000
 0.9635    0.156     0.000    -0.918     0.000
 0.9799    0.199     0.000    -0.895     0.000
 0.9928    0.256     0.000    -0.862     0.000
 1.0000    0.415     0.000    -0.765     0.000


