xflr5 v6.47
NACA0012
T1_Re0.100_M0.00_N9.0
Alpha =   1.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.414     0.000     0.766     0.000
 0.9928    0.243     0.000     0.870     0.000
 0.9799    0.178     0.000     0.907     0.000
 0.9635    0.127     0.000     0.934     0.000
 0.9445    0.087     0.000     0.955     0.000
 0.9235    0.053     0.000     0.973     0.000
 0.9007    0.023     0.000     0.988     0.000
 0.8766   -0.003     0.000     1.002     0.000
 0.8512   -0.028     0.000     1.014     0.000
 0.8249   -0.051     0.000     1.025     0.000
 0.7977   -0.073     0.000     1.036     0.000
 0.7699   -0.094     0.000     1.046     0.000
 0.7415   -0.115     0.000     1.056     0.000
 0.7127   -0.135     0.000     1.065     0.000
 0.6836   -0.155     0.000     1.075     0.000
 0.6543   -0.174     0.000     1.084     0.000
 0.6249   -0.194     0.000     1.093     0.000
 0.5955   -0.214     0.000     1.102     0.000
 0.5661   -0.234     0.000     1.111     0.000
 0.5368   -0.255     0.000     1.120     0.000
 0.5077   -0.276     0.000     1.129     0.000
 0.4789   -0.296     0.000     1.139     0.000
 0.4505   -0.318     0.000     1.148     0.000
 0.4225   -0.339     0.000     1.157     0.000
 0.3949   -0.361     0.000     1.166     0.000
 0.3678   -0.382     0.000     1.176     0.000
 0.3413   -0.404     0.000     1.185     0.000
 0.3155   -0.426     0.000     1.194     0.000
 0.2904   -0.448     0.000     1.203     0.000
 0.2659   -0.469     0.000     1.212     0.000
 0.2423   -0.490     0.000     1.221     0.000
 0.2195   -0.511     0.000     1.229     0.000
 0.1976   -0.532     0.000     1.238     0.000
 0.1766   -0.552     0.000     1.246     0.000
 0.1566   -0.571     0.000     1.254     0.000
 0.1376   -0.590     0.000     1.261     0.000
 0.1197   -0.608     0.000     1.268     0.000
 0.1028   -0.625     0.000     1.275     0.000
 0.0871   -0.641     0.000     1.281     0.000
 0.0726   -0.654     0.000     1.286     0.000
 0.0592   -0.665     0.000     1.290     0.000
 0.0472   -0.671     0.000     1.293     0.000
 0.0364   -0.669     0.000     1.292     0.000
 0.0269   -0.651     0.000     1.285     0.000
 0.0188   -0.608     0.000     1.268     0.000
 0.0121   -0.515     0.000     1.231     0.000
 0.0069   -0.334     0.000     1.155     0.000
 0.0031   -0.015     0.000     1.007     0.000
 0.0008    0.448     0.000     0.743     0.000
 0.0000    0.873     0.000     0.357     0.000
 0.0008    0.997     0.000    -0.059     0.000
 0.0031    0.839     0.000    -0.401     0.000
 0.0069    0.595     0.000    -0.636     0.000
 0.0121    0.378     0.000    -0.789     0.000
 0.0188    0.210     0.000    -0.889     0.000
 0.0269    0.087     0.000    -0.956     0.000
 0.0364   -0.005     0.000    -1.002     0.000
 0.0472   -0.072     0.000    -1.036     0.000
 0.0592   -0.123     0.000    -1.060     0.000
 0.0726   -0.162     0.000    -1.078     0.000
 0.0871   -0.191     0.000    -1.092     0.000
 0.1028   -0.214     0.000    -1.102     0.000
 0.1197   -0.230     0.000    -1.109     0.000
 0.1376   -0.242     0.000    -1.114     0.000
 0.1566   -0.249     0.000    -1.118     0.000
 0.1766   -0.254     0.000    -1.120     0.000
 0.1976   -0.255     0.000    -1.120     0.000
 0.2195   -0.254     0.000    -1.120     0.000
 0.2423   -0.251     0.000    -1.119     0.000
 0.2659   -0.247     0.000    -1.117     0.000
 0.2904   -0.240     0.000    -1.114     0.000
 0.3155   -0.233     0.000    -1.110     0.000
 0.3413   -0.224     0.000    -1.106     0.000
 0.3678   -0.215     0.000    -1.102     0.000
 0.3949   -0.204     0.000    -1.097     0.000
 0.4225   -0.193     0.000    -1.092     0.000
 0.4505   -0.182     0.000    -1.087     0.000
 0.4789   -0.170     0.000    -1.082     0.000
 0.5077   -0.158     0.000    -1.076     0.000
 0.5368   -0.145     0.000    -1.070     0.000
 0.5661   -0.133     0.000    -1.064     0.000
 0.5955   -0.120     0.000    -1.058     0.000
 0.6249   -0.107     0.000    -1.052     0.000
 0.6543   -0.093     0.000    -1.046     0.000
 0.6836   -0.080     0.000    -1.039     0.000
 0.7127   -0.066     0.000    -1.033     0.000
 0.7415   -0.052     0.000    -1.026     0.000
 0.7699   -0.037     0.000    -1.018     0.000
 0.7977   -0.022     0.000    -1.011     0.000
 0.8249   -0.005     0.000    -1.003     0.000
 0.8512    0.013     0.000    -0.994     0.000
 0.8766    0.032     0.000    -0.984     0.000
 0.9007    0.054     0.000    -0.973     0.000
 0.9235    0.079     0.000    -0.960     0.000
 0.9445    0.108     0.000    -0.944     0.000
 0.9635    0.143     0.000    -0.926     0.000
 0.9799    0.189     0.000    -0.900     0.000
 0.9928    0.250     0.000    -0.866     0.000
 1.0000    0.414     0.000    -0.766     0.000


