xflr5 v6.47
NACA0012
T1_Re0.100_M0.00_N9.0
Alpha =   4.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.417     0.000     0.764     0.000
 0.9928    0.241     0.000     0.871     0.000
 0.9799    0.171     0.000     0.910     0.000
 0.9635    0.116     0.000     0.940     0.000
 0.9445    0.071     0.000     0.964     0.000
 0.9235    0.032     0.000     0.984     0.000
 0.9007   -0.003     0.000     1.001     0.000
 0.8766   -0.034     0.000     1.017     0.000
 0.8512   -0.064     0.000     1.032     0.000
 0.8249   -0.093     0.000     1.045     0.000
 0.7977   -0.120     0.000     1.058     0.000
 0.7699   -0.146     0.000     1.071     0.000
 0.7415   -0.173     0.000     1.083     0.000
 0.7127   -0.199     0.000     1.095     0.000
 0.6836   -0.225     0.000     1.107     0.000
 0.6543   -0.252     0.000     1.119     0.000
 0.6249   -0.278     0.000     1.131     0.000
 0.5955   -0.306     0.000     1.143     0.000
 0.5661   -0.334     0.000     1.155     0.000
 0.5368   -0.362     0.000     1.167     0.000
 0.5077   -0.392     0.000     1.180     0.000
 0.4789   -0.422     0.000     1.193     0.000
 0.4505   -0.453     0.000     1.206     0.000
 0.4225   -0.486     0.000     1.219     0.000
 0.3949   -0.519     0.000     1.232     0.000
 0.3678   -0.553     0.000     1.246     0.000
 0.3413   -0.588     0.000     1.260     0.000
 0.3155   -0.625     0.000     1.275     0.000
 0.2904   -0.662     0.000     1.289     0.000
 0.2659   -0.701     0.000     1.304     0.000
 0.2423   -0.741     0.000     1.320     0.000
 0.2195   -0.783     0.000     1.335     0.000
 0.1976   -0.827     0.000     1.352     0.000
 0.1766   -0.873     0.000     1.368     0.000
 0.1566   -0.921     0.000     1.386     0.000
 0.1376   -0.972     0.000     1.404     0.000
 0.1197   -1.027     0.000     1.424     0.000
 0.1028   -1.086     0.000     1.444     0.000
 0.0871   -1.151     0.000     1.467     0.000
 0.0726   -1.223     0.000     1.491     0.000
 0.0592   -1.302     0.000     1.517     0.000
 0.0472   -1.391     0.000     1.546     0.000
 0.0364   -1.489     0.000     1.578     0.000
 0.0269   -1.595     0.000     1.611     0.000
 0.0188   -1.702     0.000     1.644     0.000
 0.0121   -1.787     0.000     1.669     0.000
 0.0069   -1.792     0.000     1.671     0.000
 0.0031   -1.596     0.000     1.611     0.000
 0.0008   -1.029     0.000     1.425     0.000
 0.0000   -0.142     0.000     1.069     0.000
 0.0008    0.609     0.000     0.625     0.000
 0.0031    0.957     0.000     0.207     0.000
 0.0069    0.987     0.000    -0.115     0.000
 0.0121    0.881     0.000    -0.345     0.000
 0.0188    0.743     0.000    -0.507     0.000
 0.0269    0.611     0.000    -0.624     0.000
 0.0364    0.496     0.000    -0.710     0.000
 0.0472    0.398     0.000    -0.776     0.000
 0.0592    0.317     0.000    -0.827     0.000
 0.0726    0.249     0.000    -0.867     0.000
 0.0871    0.191     0.000    -0.899     0.000
 0.1028    0.144     0.000    -0.925     0.000
 0.1197    0.103     0.000    -0.947     0.000
 0.1376    0.070     0.000    -0.964     0.000
 0.1566    0.042     0.000    -0.979     0.000
 0.1766    0.019     0.000    -0.990     0.000
 0.1976    0.000     0.000    -1.000     0.000
 0.2195   -0.015     0.000    -1.008     0.000
 0.2423   -0.027     0.000    -1.013     0.000
 0.2659   -0.036     0.000    -1.018     0.000
 0.2904   -0.043     0.000    -1.021     0.000
 0.3155   -0.048     0.000    -1.024     0.000
 0.3413   -0.050     0.000    -1.025     0.000
 0.3678   -0.051     0.000    -1.025     0.000
 0.3949   -0.051     0.000    -1.025     0.000
 0.4225   -0.050     0.000    -1.025     0.000
 0.4505   -0.047     0.000    -1.023     0.000
 0.4789   -0.044     0.000    -1.022     0.000
 0.5077   -0.039     0.000    -1.020     0.000
 0.5368   -0.035     0.000    -1.017     0.000
 0.5661   -0.029     0.000    -1.014     0.000
 0.5955   -0.023     0.000    -1.011     0.000
 0.6249   -0.017     0.000    -1.008     0.000
 0.6543   -0.010     0.000    -1.005     0.000
 0.6836   -0.002     0.000    -1.001     0.000
 0.7127    0.006     0.000    -0.997     0.000
 0.7415    0.014     0.000    -0.993     0.000
 0.7699    0.024     0.000    -0.988     0.000
 0.7977    0.034     0.000    -0.983     0.000
 0.8249    0.045     0.000    -0.977     0.000
 0.8512    0.058     0.000    -0.970     0.000
 0.8766    0.073     0.000    -0.963     0.000
 0.9007    0.090     0.000    -0.954     0.000
 0.9235    0.110     0.000    -0.944     0.000
 0.9445    0.134     0.000    -0.931     0.000
 0.9635    0.164     0.000    -0.914     0.000
 0.9799    0.205     0.000    -0.892     0.000
 0.9928    0.260     0.000    -0.860     0.000
 1.0000    0.417     0.000    -0.764     0.000


