xflr5 v6.47
NACA0012
T1_Re0.100_M0.00_N9.0
Alpha =   0.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.413     0.000     0.766     0.000
 0.9928    0.245     0.000     0.869     0.000
 0.9799    0.181     0.000     0.905     0.000
 0.9635    0.132     0.000     0.932     0.000
 0.9445    0.094     0.000     0.952     0.000
 0.9235    0.061     0.000     0.969     0.000
 0.9007    0.033     0.000     0.983     0.000
 0.8766    0.008     0.000     0.996     0.000
 0.8512   -0.015     0.000     1.007     0.000
 0.8249   -0.036     0.000     1.018     0.000
 0.7977   -0.056     0.000     1.028     0.000
 0.7699   -0.076     0.000     1.037     0.000
 0.7415   -0.094     0.000     1.046     0.000
 0.7127   -0.112     0.000     1.055     0.000
 0.6836   -0.130     0.000     1.063     0.000
 0.6543   -0.148     0.000     1.071     0.000
 0.6249   -0.165     0.000     1.080     0.000
 0.5955   -0.183     0.000     1.088     0.000
 0.5661   -0.201     0.000     1.096     0.000
 0.5368   -0.218     0.000     1.104     0.000
 0.5077   -0.236     0.000     1.112     0.000
 0.4789   -0.254     0.000     1.120     0.000
 0.4505   -0.272     0.000     1.128     0.000
 0.4225   -0.290     0.000     1.136     0.000
 0.3949   -0.308     0.000     1.144     0.000
 0.3678   -0.326     0.000     1.152     0.000
 0.3413   -0.344     0.000     1.159     0.000
 0.3155   -0.361     0.000     1.167     0.000
 0.2904   -0.378     0.000     1.174     0.000
 0.2659   -0.394     0.000     1.181     0.000
 0.2423   -0.409     0.000     1.187     0.000
 0.2195   -0.424     0.000     1.193     0.000
 0.1976   -0.437     0.000     1.199     0.000
 0.1766   -0.450     0.000     1.204     0.000
 0.1566   -0.461     0.000     1.209     0.000
 0.1376   -0.470     0.000     1.212     0.000
 0.1197   -0.477     0.000     1.215     0.000
 0.1028   -0.482     0.000     1.217     0.000
 0.0871   -0.484     0.000     1.218     0.000
 0.0726   -0.482     0.000     1.217     0.000
 0.0592   -0.474     0.000     1.214     0.000
 0.0472   -0.458     0.000     1.207     0.000
 0.0364   -0.429     0.000     1.196     0.000
 0.0269   -0.382     0.000     1.176     0.000
 0.0188   -0.304     0.000     1.142     0.000
 0.0121   -0.175     0.000     1.084     0.000
 0.0069    0.035     0.000     0.982     0.000
 0.0031    0.351     0.000     0.805     0.000
 0.0008    0.735     0.000     0.515     0.000
 0.0000    0.986     0.000     0.119     0.000
 0.0008    0.918     0.000    -0.287     0.000
 0.0031    0.636     0.000    -0.603     0.000
 0.0069    0.345     0.000    -0.809     0.000
 0.0121    0.123     0.000    -0.936     0.000
 0.0188   -0.031     0.000    -1.015     0.000
 0.0269   -0.136     0.000    -1.066     0.000
 0.0364   -0.208     0.000    -1.099     0.000
 0.0472   -0.258     0.000    -1.122     0.000
 0.0592   -0.293     0.000    -1.137     0.000
 0.0726   -0.317     0.000    -1.148     0.000
 0.0871   -0.334     0.000    -1.155     0.000
 0.1028   -0.345     0.000    -1.160     0.000
 0.1197   -0.351     0.000    -1.162     0.000
 0.1376   -0.354     0.000    -1.164     0.000
 0.1566   -0.353     0.000    -1.163     0.000
 0.1766   -0.350     0.000    -1.162     0.000
 0.1976   -0.345     0.000    -1.160     0.000
 0.2195   -0.338     0.000    -1.157     0.000
 0.2423   -0.330     0.000    -1.153     0.000
 0.2659   -0.320     0.000    -1.149     0.000
 0.2904   -0.309     0.000    -1.144     0.000
 0.3155   -0.297     0.000    -1.139     0.000
 0.3413   -0.284     0.000    -1.133     0.000
 0.3678   -0.270     0.000    -1.127     0.000
 0.3949   -0.256     0.000    -1.121     0.000
 0.4225   -0.242     0.000    -1.114     0.000
 0.4505   -0.227     0.000    -1.108     0.000
 0.4789   -0.212     0.000    -1.101     0.000
 0.5077   -0.197     0.000    -1.094     0.000
 0.5368   -0.182     0.000    -1.087     0.000
 0.5661   -0.167     0.000    -1.080     0.000
 0.5955   -0.151     0.000    -1.073     0.000
 0.6249   -0.136     0.000    -1.066     0.000
 0.6543   -0.121     0.000    -1.059     0.000
 0.6836   -0.105     0.000    -1.051     0.000
 0.7127   -0.090     0.000    -1.044     0.000
 0.7415   -0.073     0.000    -1.036     0.000
 0.7699   -0.057     0.000    -1.028     0.000
 0.7977   -0.039     0.000    -1.019     0.000
 0.8249   -0.021     0.000    -1.010     0.000
 0.8512   -0.001     0.000    -1.001     0.000
 0.8766    0.020     0.000    -0.990     0.000
 0.9007    0.043     0.000    -0.978     0.000
 0.9235    0.070     0.000    -0.964     0.000
 0.9445    0.101     0.000    -0.948     0.000
 0.9635    0.137     0.000    -0.929     0.000
 0.9799    0.185     0.000    -0.903     0.000
 0.9928    0.247     0.000    -0.868     0.000
 1.0000    0.413     0.000    -0.766     0.000


